,product_details,cost,barcode,discount,in_stock,wholesale_cost
308,Freedom 15L,1985,8906035030062,0,25,11
309,Ponds powder,10,8901030945946,0,25,11
310,Deer Dall 500g,80,8908004431122,0,25,11
311,Highpwr cockroch killer,25,8906004350016,0,25,11
312,Bingo masala chips,5,8901725015244,0,25,11
313,Bingo cream & onion,5,8901725015213,0,25,11
314,Bingo chilli chips,5,8901725015251,0,25,11
315,Bingo salt,10,8901725007096,0,25,11
316,Bingo chilli,10,8901725007102,0,25,11
317,VKS Trusalt 1kg,25,8902988000091,0,25,11
318,VKS crystal salt1kg,22,8908007390051,0,25,11
319,Aachi black pepper,10,8906021122436,0,25,11
320,SS karpooram,45,8906085360317,0,25,11
321,SDL karpooram,45,8803514169018,0,25,11
322,Mentho plus balm,2,8901248226127,0,25,11
323,Fevi stik,15,8901860633501,0,25,11
324,Fevi gum,5,8901860633037,0,25,11
325,Fevi gum,5,8901860633044,0,25,11
326,Fevicol,10,8901860630241,0,25,11
327,Kangaro punch,78,8901057202800,0,25,11
328,Nataraj clr pencils,20,8901324401097,0,25,11
329,DOMS super dark,60,8908004279403,0,25,11
330,Apsara platinum,60,8901324055795,0,25,11
331,Tata cpr water 1L,20,8903754000062,0,25,11
332,ORSL,42,8901012350010,0,25,11
333,Thumps up 2.25L,100,8901764042904,0,25,11
334,Appy fizz,10,8902579002442,0,25,11
335,Thumps up1.25L,68,8901764042805,0,25,11
336,Thums up 250ml,20,8901764042911,0,25,11
337,Slice 350ml,20,8902080404179,0,25,11
338,Sprite 250ml,20,8901764032912,0,25,11
339,Bindu 250ml,20,8908000589254,0,25,11
340,Thumsup 300ml,40,8901764041259,0,25,11
341,Pista badam milk 200ml,30,8904089927369,0,25,11
342,PREDATOR ENERGY 300ml,60,4897036693469,0,25,11
343,ASHRVAD Vermicelli 850g,89,8901725118846,0,25,11
344,Thumsup 600ml,40,8901764042706,0,25,11
345,ASHRVAD Vermicelli 400g,59,8901725118808,0,25,11
346,Sprite 600ml,40,8901764032707,0,25,11
347,Bambino vermicelli 400g,45,8904287001045,0,25,11
348,Limca250ml,20,8901764052910,0,25,11
349,Bambino vermicelli 500g,50,8904287000178,0,25,11
350,Agarwal vermicelli 100g,12,8908019154054,0,25,11
351,BB Red Label 250g,155,8901030876950,0,25,11
352,BB Red Label 100g,55,8901030877117,0,25,11
353,TvTv tea Gemini 250g,135,8901052021383,0,25,11
354,Priya ginger garlic200g,49,785018086917,0,25,11
355,Colour 250ml,20,8901764382130,0,25,11
356,3Roses 100g,90,8901030986543,0,25,11
357,Aachi turmeric pwdr50g,17,8906021123112,0,25,11
358,Priya ginger garlic20g,5,8904246920004,0,25,11
359,Ginger garlic20g,5,8906081381163,0,25,11
360,Jersey Ghee 10ml,10,8906016410579,0,25,11
361,Kesher food colour 10g,3,8905910437279,0,25,11
362,Priya coarinder5g,5,8904246930027,0,25,11
363,Priya Rasam100g,45,8904246930737,0,25,11
364,Orange red food clr10g,3,8905910107271,0,25,11
365,Gemini 50g,29,8901052021598,0,25,11
366,Lemon yellow food clr10g,3,8905910117270,0,25,11
367,Dodla ghee 12ml,10,8906024482209,0,25,11
368,Aswini Hair oil 90ml,76,8908000498976,0,25,11
369,Parachute 175ml,60,8901088050586,0,25,11
370,Vatika  150ml,97,8901207038433,0,25,11
371,Dabur amla 180ml,95,8901207038389,0,25,11
372,Comfort fbrc cndtnr 210ml,58,8901030930980,0,25,11
373,BluComfort f_cndtnr210ml,58,8901030930966,0,25,11
374,BluComfort f_cndtnr430ml,120,8901030803659,0,25,11
375,Navratna oil 90ml,85,8901248104791,0,25,11
376,Navratna oil 45ml,45,8901248104784,0,25,11
377,Fair and handsome 15g,30,8901248253161,0,25,11
